Butsuma,0,Narration,道場・当主の遺影前にて,,
Serifu,1,Ren,父さん・・・。,,
Byoin,2,Narration,いきなりだけどここから回想。数年前の病院にて。,,
Serifu,3,Toshu,レン。サラ。いいか、,私の身に何かあったらお前達が道場を守るんだ。,
Serifu,4,Ren,父さん・・・,そんな縁起でもない事言わないでくれよ。,
Serifu,5,Sara,そうよ。病気で倒れたからって弱気にならないで。,父さんにはもっと長生きしてもらわないといけないわ,
Serifu,6,Toshu,我が国が戦争に負けて武力廃棄令が下された。,大勢いた門下生も次々と離れていった。,このままでは道場をたたまなければいけなくなるだろう。
Serifu,7,Toshu,だが、武術とは心の在り方だ。,例え武道が廃れても先代達が守ってきた道場だけは何か,何でも守りたい。
Serifu,8,Toshu,それが出来るのは若いお前達なんだ。,私も出来る限り協力はする。頼んだぞ。,
Serifu,9,Ren,父さん・・・。わかったよ。,だから、死なないでくれよ,
Serifu,10,Toshu,ああ、男同士の約束だぞ。,,
Butsuma,11,Narration,回想終了。戻って当主の遺影前。,,
Serifu,12,Sara,そうよ。病気で倒れたからって弱気にならないで。,父さんにはもっと長生きしてもらわないといけないわ,
Serifu,13,Ren,父さんの嘘つき！,,
Serifu,14,Sara,レン・・・,,
Serifu,15,Narration,ドン！ドン！,,
Serifu,16,Nakada,ごめんくださーーーい！！,誰かいらっしゃいますかーーー！！,
Serifu,17,Ren,？,,
Serifu,18,Sara,誰かしら？出てみましょう。,,
Genkan,19,Narration,玄関に移動。画面を暗くして扉を開ける効果音。,,
Serifu,20,Narration,ガラガラガラ・・・,,
Serifu,21,Nakada,やあ、どうも。突然の訪問ごめんなさいねー。,,
Serifu,22,Ren,（ヤ、ヤクザ！？）,,
Serifu,23,Sara,あの・・・ご用件は何でしょうか？,,
Serifu,24,Nakada,いやね？こちらのご主人が亡くなられたって聞いて来た,んですよ。,ちょっと通りがてら線香をあげにね。
Serifu,25,Sara,父のお知り合いですか？一体どういった・・・,あー、申し遅れました。あたしゃこういう者です。,
Serifu,26,Nakada,あー、申し遅れました。あたしゃこういう者です。,,
Serifu,27,Narration,男は名刺を差し出した。,,
Serifu,28,Sara,・・・株式会社ナカダ興行代表取締役、ジョージ ナカダ,・・・。,
Serifu,29,Nakada,まあ、ちょっとした小さい会社を経営してる者ですよ。,君たちは？,
Serifu,30,Sara,私はサラ クジョウ。このクレナイ流武術道場の当主,タイジ クジョウの長女です。こちらは弟のレンです。,
Serifu,31,Ren,どうも・・・。,,
Serifu,32,Nakada,サラちゃんにレンくんね。よろしく。,ま、こんなところで立ち話もなんだし。,中にお邪魔していいかな？
Butsuma,33,Narration,仏壇前に移動。,,
Serifu,34,Sara,お茶とお菓子用意しました。こちらへどうぞ。,,
Serifu,35,Nakada,こりゃどうも。お構いなく。,,
