Mahina,0,Narration,こうして一行は車に乗せられ途中で停まったりして,小一時間ほど経過し、目隠しを外して車から降りる。,
Serifu,1,Narration,マヒナ廃校出入口。,,
Serifu,2,Ren,こ、ここは・・・？,,
Serifu,3,Nakada,昔使われてた採掘場で,今は閉鎖して闇取引に使われている。,俺達はマヒナって呼んでる。
Serifu,4,Nakada,今はあるお偉いさんが管轄していてな。,立ち入り禁止になってる。,
Serifu,5,Nakada,ま、こんなところ好き好んで来る奴は,いねぇだろうけどな。,
Serifu,6,Ren,それで僕たちに何をさせる気だ？,,
Serifu,7,Nakada,なぁに、簡単な話だよ。さ。,依頼人から預かったブツを,奥にある取引部屋に置いて帰るだけだ。
Serifu,8,Nakada,ただ、中には魔獣もウロウロしててな。,お前さんらにはボディガードをやってもらいたいのさ。,
Serifu,9,Grad,つまり運び屋か！,,
Serifu,10,Nakada,その通り。預かったブツはそれくらいヤバイものなのさ。,傭兵は高く付くから,銃でも使って一人で行こうかと思ってた。
Serifu,11,Nakada,まあ、これお前らの腕がどれほどのものか,見極める試験だと思えばいい。,合格したら金になる仕事をやってもらうぜ。
Serifu,12,Narration,ナカダ、車の後ろに移動。,,
Move,13,Narration,ナカダはトランクを開けた,,
Serifu,14,Nakada,武器はこちらで用意したぜ。,好きなのを使いな。,急ごしらえだから大した物は無いけどな。
Serifu,15,Nakada,レンタル料は後払いだ。,成功報酬から差し引かせて貰う。,ま、成功すればの話だけどな。
Serifu,16,Nakada,それ以前に受けるかどうかだけどな。,ビビってんなら逃げてもいいぜ。,
Serifu,17,Ren,ここまで連れてきてそれを言うか？,,
Move,18,Narration,レン、前に一歩出て二人の方を振り向く。,,
Serifu,19,Ren,行こう！もう腹をくくるしかないよ！,,
Serifu,20,Grad,わかりました。サラお嬢はここに残って待ってて下さい。,,
Serifu,21,Sara,いえ、私も行くわ！女だからって戦力から外さないで。,私だって道場で日々槍術の修行をしていたのよ。,それに道場を任されたのはレンだけじゃないんだから！
Serifu,22,Ren,姉さん・・・,,
Quest,23,Narration,ダンジョン攻略開始,,
Mahina,24,Nakada,話はまとまったみてぇだな。,用意が出来たら行くぞ。,
Serifu,25,Nakada,よし。ここで待ってな。,俺は中に入って依頼品を収めて来るから。,見張り頼んだぜ。
Move,26,Narration,ナカダ取引部屋に入って,レン・サラ・グラッドの三人となる。,
Serifu,27,Ren,ふぅ・・・。怖かったけどなんとかなったな。,,
Serifu,28,Sara,まだ油断は出来ないわよ。,帰るまでがゴールだから。,
Serifu,29,Grad,そうですね。,それにしてもお嬢も若も強くなられましたな。,魔獣相手に戦えるとは。
Serifu,30,Grad,今のお二人を見たら,先生もさぞお喜びになられるでしょう。,うぅ・・・。
Serifu,31,Ren,そんな・・・。,グラッドさんがいたから戦えたんだよ。,僕達二人だけじゃここまで来れなかったよ。
Serifu,32,Ren,それと父さんの話はやめてくれ。,僕らに道場を守れとか言って,黙って借金して死んで・・・。
Serifu,33,Ren,父さんなんて大嫌いだ！,,
Serifu,34,Sara,レン・・・。,,
Serifu,35,Grad,若！そんな事を言ってはいけませんぞ！,私は先生を信じてます！,きっと何か事情があっての事でしょう！
Serifu,36,Ren,僕はそんな風に信じられないよ。,このまま無事に帰ったって,あのヤクザにいいように使われるんだよ？
Serifu,37,Ren,自分の子をそこまで危険にさらす親なんて最低だよ・・・,,
Serifu,38,Grad,若・・・,,
Serifu,39,Narration,数秒間、沈黙が流れ取引部屋からナカダが出て来る。,,
Serifu,40,Nakada,よし、終わったから帰るぜ。,ん？なんか空気が重いな。,何話してたんだ？
Serifu,41,Ren,別に・・・。,さっさと行こうよ。,
Serifu,42,Nakada,お、おぅ・・・。,じゃあ、このまま護衛頼んだぜ。,ん・・・おい、後ろ！
Battle,43,Narration,レン達の後ろから魔獣登場。,,
Serifu,44,Nakada,こんな奴までいたのか。,最近魔獣が活発化してるって噂は本当みてぇだな。,こんなところに長居は無用だ。行こうぜ。
Quest,45,Narration,出入り口まで戻ればイベント。,,
Serifu,46,Nakada,よし、無事戻れたな。,報酬は明日やるよ。,借金の支払い分は引くから大した額にはならないけどな。
Serifu,47,Nakada,ま、お前らの腕は充分わかったぜ。,合格だ。,
Serifu,48,Ren,合格って事はまたこんな危険な仕事をさせるの？,,
Serifu,49,Nakada,ま、そんなところかな。,世間じゃ武力廃棄令なんて言ってるが,裏社会じゃ武力は必要とされてるのさ。
Serifu,50,Nakada,これからもよろしく頼むぜ？,取り合えず今日はもう帰って休むんだな。,
BlackOut,51,Narration,画面全体を黒に。,,
Serifu,52,Narration,こうして父親の借金返済する為の戦いが始まった。,果たして借金地獄に終わりはあるのか？,不安を抱きつつ帰宅するのであった。
Serifu,53,Narration,そして翌日。,,
